time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.14378503143e-08,-1.18324052204e-08,10.0072896741,6.28280929914,2.23843386742e-05,0.0,-2.1059102096e-06,-1.79611080006e-05,0.242968398244,-0.023340775238,0.00110903688105,0.0,479.4678596517721,479.55208564465124,481.6248678638524,479.85669020098857
0.12000000000000001,-1.56494327431e-06,-1.83082963252e-05,10.0320482478,6.2817269476,0.000398329594758,0.0,-8.19466102536e-05,-0.000760155070136,0.582206897742,-0.00912152600134,0.0149769908312,0.0,506.98379492634746,507.9789744980488,506.53500389665805,507.55644778812234
0.18,-1.66859227263e-05,-9.19438147295e-05,10.0674612419,6.28146383039,0.00123060878803,0.0,-0.000499687365843,-0.00172941416303,0.59821774452,0.00371453118634,0.0115629285623,0.0,410.0233802590239,409.71991022431996,409.0509048887544,410.1922915321481
0.23999999999999996,-7.507472652e-05,-0.000230680156395,10.1066361197,6.28189694399,0.00184819788011,0.0,-0.00151444587145,-0.00286030331762,0.707549642055,0.0134387991331,0.00762432564685,0.0,439.73454589941684,439.4080844905769,440.5052697487523,441.30844907984624
0.3,-0.000208364040951,-0.000427341038395,10.1533727032,6.28263422752,0.00231976686549,0.0,-0.00297866925398,-0.00361123090019,0.850240764808,0.0098811419613,0.00832570935751,0.0,450.67265607448456,450.7292190764286,450.9933629657132,450.7058362954634
0.36000000000000004,-0.000434313214606,-0.000652298959904,10.2061963946,6.28271070871,0.00309097527958,0.0,-0.00461514540858,-0.00384384963478,0.910502396824,-0.0277228124349,0.0206442687963,0.0,424.54992809290985,425.6053237163302,426.24200762483366,423.01657972541307
0.4200000000000001,-0.000793605860038,-0.000902351163897,10.2678748556,6.28092042292,0.00382077291164,0.0,-0.00749424501571,-0.00470117734351,1.14524023247,-0.0344444023366,-0.0159720036818,0.0,480.4686459076627,477.68483766125144,478.37229538099734,477.86003707615373
0.48000000000000015,-0.00131738519339,-0.00123843692033,10.3392993613,6.27864612171,0.00259950869761,0.0,-0.00985704092308,-0.00671858239983,1.23548284829,-0.0459221668146,-0.0310003282069,0.0,435.65174729869256,434.39346121589335,435.69830409613877,434.73698878154914
0.5400000000000001,-0.00195831688196,-0.00175146634818,10.4175910386,6.27613474819,0.00100751786076,0.0,-0.0113224221816,-0.0106641322568,1.37408206549,-0.0347639892187,-0.018833645544,0.0,450.05380457432534,451.0372143380458,450.0088536378516,450.9101234344388
0.6000000000000002,-0.00265083838277,-0.00251479335049,10.4989713401,6.27383790154,6.28284744162,0.0,-0.0116612080144,-0.0149590775493,1.33863573968,-0.0464504392739,-0.030792775904,0.0,394.290038928735,393.18360586775304,393.8952682739693,392.8121711091702
0.6600000000000003,-0.00333525958814,-0.00363778961731,10.5844798464,6.27091635933,6.28124349088,0.0,-0.0109595304439,-0.0227934238232,1.51143183386,-0.0536006556683,-0.019648104533,0.0,460.88357778015103,461.7633378150942,461.3346189774003,460.7683677791679
0.7200000000000003,-0.00395039551169,-0.00525789228342,10.6771275372,6.26746799362,6.2799629916,0.0,-0.00942630325884,-0.0315302549054,1.57673180177,-0.0666274038319,-0.0249638751551,0.0,428.2120304741641,427.7596077099164,428.66966736607105,427.5588778719731
0.7800000000000004,-0.0044339220183,-0.00753585326073,10.7776055643,6.26287641355,6.27872110587,0.0,-0.00653445281536,-0.0448678521864,1.7722445798,-0.120365357244,-0.0133008083225,0.0,468.97080831404776,469.8757933793937,469.9551021427918,465.76583054322293
0.8400000000000004,-0.00470788314822,-0.0107871365087,10.8921149534,6.25525489681,6.2785632001,0.0,-0.00254599965866,-0.0644375469802,2.04426734311,-0.145658718528,0.0129601998785,0.0,490.33101171984146,492.27797645006854,492.51068266330617,490.62302588553194
0.9000000000000005,-0.0047657784901,-0.0152790263225,11.018288741,6.24675113177,6.27934261132,0.0,0.000533812889502,-0.0861857377654,2.16128302976,-0.134852412389,0.0130500926283,0.0,446.5502634636447,446.5574764437009,445.82664331802835,446.6899668290969
0.9600000000000005,-0.00467082962277,-0.0210949107152,11.1472995218,6.2388119378,6.27979950762,0.0,0.00257659229448,-0.108350878293,2.13909030402,-0.127687862746,-0.00641225937854,0.0,402.9002777374418,401.1367890851195,400.05194667784633,400.68552067880745
1.0200000000000005,-0.00445153914987,-0.0284526570143,11.2766947591,6.23166773836,6.27899686901,0.0,0.00478215080479,-0.137584279981,2.17398364285,-0.105829990262,-0.0333564696758,0.0,422.3130674842968,419.98266889049864,418.9712139429239,420.85323538038296
1.0800000000000005,-0.00407006419424,-0.0377989834901,11.4101658037,6.22530407782,6.27678057349,0.0,0.00814719209283,-0.174598646568,2.27481594108,-0.106526695301,-0.0452858383478,0.0,442.26559893693724,441.2813189893121,442.39691980236057,442.32964200723234
1.1400000000000006,-0.00341517220301,-0.0496932140858,11.5529804932,6.21853442766,6.27386861712,0.0,0.0140119224531,-0.222623002699,2.48518560191,-0.130010365049,-0.055976074831,0.0,476.3771732331843,475.55775399709444,476.6621717597313,474.85344468233166
1.2000000000000006,-0.0023331342353,-0.0646564989506,11.7086922335,6.21066825806,6.27075092027,0.0,0.0224380740223,-0.277057226014,2.70463692224,-0.133379961536,-0.0449487504873,0.0,478.90267016738403,479.73911620367284,479.8779445526811,479.6077022294734
