episode,score,best_score,total_reward,time,z,v_z
2,0.0,-inf,-56.70568389169285,1.5000000000000009,0.0,-13.79103180336966
4,-2.2218228688840194,0.039585780871345656,-57.76739459098451,1.560000000000001,0.0,-14.078799961269384
6,-2.1845613708827356,0.049154453514832885,-43.69122741765471,1.2000000000000006,0.0,-18.469026194177108
8,1.8738416386470438,2.037064752979883,157.40269764635167,5.0399999999999805,32.16059001135605,-1.4479673870957217
10,-2.1217981217083888,2.037064752979883,-48.80135679929295,1.3800000000000008,0.0,-16.495390922625557
