episode,score,best_score,total_reward,time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity
25,2.9510487073077836,2.951662988353634,247.88809141385383,5.0399999999999805,12.358071814685626,-47.19073337168119,126.63002574258422,5.317980051048538,0.4708020820911525,0.0,0.07938407624476404,-26.170019625442702,17.35177861059959,-0.10982847729568206,0.4178010009526218,0.0
26,2.9472443303267073,2.951662988353634,226.93781343515647,4.6199999999999894,114.4934263856221,47.66689169799659,300.0,0.29391324437210553,4.2676949515084885,0.0,2066.963706046019,1284.4504373301127,4536.903178402157,0.22925277375319783,-0.5916121046891825,0.0
27,2.9516317465118753,2.951662988353634,247.9370667069975,5.0399999999999805,-0.08441313523196729,22.81772805348603,138.3291633285399,0.7898899327252673,0.2996646100444602,0.0,-2.602782887123208,13.320085099728045,27.394035283497256,0.20201993454674264,0.0898921814717068,0.0
28,2.951607754535818,2.951662988353634,247.93505138100872,5.0399999999999805,11.037328686034618,21.127270391583572,139.48255048156506,0.459712842197999,5.622550727872325,0.0,7.54363667523399,12.278611088981615,27.827005993822908,-0.08924646985205369,-0.1351494443978679,0.0
29,2.9514456101433875,2.951662988353634,247.92143125204456,5.0399999999999805,-33.68398866173795,-0.1812704971214866,132.46646506627346,5.632126182141626,1.276710525080758,0.0,-24.556612338419875,-3.8793550076053456,18.93228986767408,-0.2410605814677694,0.4517484058383799,0.0
30,2.951562420897731,2.951662988353634,247.93124335540938,5.0399999999999805,26.755723652057966,21.917700717259574,135.48177982150108,0.7479977256353836,5.6069433532061375,0.0,14.527719993276929,11.226469623656328,23.953570024751528,0.25237674196546395,-0.08066046934690524,0.0
31,2.951649687584895,2.951662988353634,247.93857375713117,5.0399999999999805,-20.918687257737872,12.776736789872839,152.20351211596417,1.2899852334151483,0.8460063976841727,0.0,-17.416548461600097,6.426812771136913,49.49313544622889,0.42456180225423407,0.38202088914218274,0.0
32,2.9514389212701073,2.951662988353634,247.92086938668902,5.0399999999999805,-45.251206187901026,5.92711254437158,129.65627611083156,0.7143547414723077,0.9708239064805202,0.0,-23.44319199401161,3.8456848767573026,20.07253951047895,0.11756289507730872,0.14686730431796283,0.0
33,2.717137247111562,2.951662988353634,228.2395287573712,5.0399999999999805,-60.97482287396014,-3.613088894457004,111.90299616726692,5.497474161077591,2.444414072803264,0.0,-34.85842291756023,4.91226499850643,-3.649365415566097,-0.4941185042923782,0.8775852589387492,0.0
34,2.9510561360230207,2.951662988353634,247.88871542593375,5.0399999999999805,-38.664484850900024,-8.565513494733834,130.29738092362854,0.2987019758913254,1.5599889245797565,0.0,-28.560835791189717,-3.775705548833893,15.376681728105073,0.07119291193701464,0.528097947822072,0.0
35,2.9506652413323766,2.951662988353634,247.85588027191963,5.0399999999999805,-46.64329635051171,23.711813521693752,126.04375319719104,0.5487519021065097,1.3277101616995886,0.0,-25.854507469162503,9.03130106528575,14.566232942615747,-0.07192789742188763,0.3561731933548314,0.0
36,2.9515876284467017,2.951662988353634,247.93336078952296,5.0399999999999805,23.131321449975122,16.600638346731728,136.35469101295286,6.193176813071275,5.639058079432623,0.0,13.237507871258941,6.2232531798793165,25.826526192167336,-0.3120079897724401,-0.10664560484724935,0.0
37,2.9516361170125966,2.951662988353634,247.93743382905814,5.0399999999999805,36.13257319081843,2.54104436874451,187.26230011167019,6.277477842064979,4.63881972649267,0.0,25.41118385203535,-4.350286187738795,138.92832152515314,0.22324892398836518,-0.5838782997604949,0.0
38,2.9510213738029423,2.951662988353634,247.88579539944715,5.0399999999999805,-19.669634378877443,-36.30751875341089,128.7354199155922,4.911323471263422,0.4588031380479993,0.0,-10.813061927214584,-24.421601325507954,15.699753506504193,-0.49143306402049064,0.1182824392136851,0.0
39,2.9516070956770477,2.951662988353634,247.934996036872,5.0399999999999805,20.059343326469843,45.00429999455135,179.29051757943336,0.4567543767600757,4.47571361337442,0.0,44.04799131053425,74.11350562101251,139.89739204381613,-0.23316947059750784,-0.6800699360419599,0.0
40,2.862177674442743,2.951662988353634,240.4229246531904,5.0399999999999805,-17.207567431713723,-61.78759663996233,112.78027316545155,4.288801648496861,0.6526893414625352,0.0,-12.618797336761647,-31.29018048831766,1.4554088777529806,-0.478464763892338,0.2509749097640278,0.0
41,2.9516368713226573,2.951662988353634,247.9374971911032,5.0399999999999805,-5.216911347576439,-12.614299362688822,140.8780212395597,0.5635328296814475,0.6390964987822105,0.0,-11.560960313315695,-4.893275829111969,32.329833168679194,0.3394055105506875,0.18072968804932774,0.0
42,2.9516526301242596,2.951662988353634,247.9388209304378,5.0399999999999805,-30.937390457090544,31.658557925615767,170.3717317059885,1.631695010248981,0.5567856743054715,0.0,-21.46224691532566,18.2810312448881,88.90911581283378,0.49965173397409346,0.24778056754259797,0.0
43,2.9516142949059345,2.951662988353634,247.9356007720985,5.0399999999999805,18.004660253815146,-13.545126524824886,137.68896221435486,5.870035998304282,5.566055287313759,0.0,11.228727578172625,-10.392937687017202,25.900232394300037,0.06596757272067831,-0.21455185698073853,0.0
44,2.951589575997807,2.951662988353634,247.9335243838158,5.0399999999999805,-16.757830127786317,13.88230871277134,136.77215807234103,6.235225179129481,0.08357032264768449,0.0,-7.24138547389165,6.284635798906508,27.32987486385204,-0.4069948531930215,-0.1364291665654177,0.0
45,2.951649821398503,2.951662988353634,247.93858499747427,5.0399999999999805,25.998092607298283,-1.8038341786650771,151.96385798825662,6.01073535031486,5.082238481662129,0.0,12.468257722327742,-5.325376903603119,42.62274089125874,-0.11774893952563385,-0.3249191473853469,0.0
46,2.951596303047735,2.951662988353634,247.93408945600973,5.0399999999999805,5.468023095334419,-4.641991118544574,139.5799004886362,5.525878709511932,6.217813099658311,0.0,4.879995645918962,-10.598973264058635,27.339259087160627,-0.3731691148372494,0.30434425509471597,0.0
47,2.950745083091976,2.951662988353634,247.862586979726,5.0399999999999805,-28.667033044869918,-34.870792061526444,127.4234472107849,4.890667935685741,0.8826435989946191,0.0,-18.03633752895846,-21.628452180180144,14.564852166113088,-0.43671213620709853,0.14147196327062386,0.0
48,2.9469009522979435,2.951662988353634,247.53967999302725,5.0399999999999805,-6.790211758466958,-56.45331150710024,120.23686763042396,4.942747021599473,0.6880796902330095,0.0,-9.136632326989625,-28.943626658140545,10.587707733783716,-0.06933371028215887,0.265221111309646,0.0
49,2.9278921136771423,2.951662988353634,245.94293754887994,5.0399999999999805,-54.58695470009171,-17.150203912023677,117.91740215369752,5.6165297931365235,1.8844863886871845,0.0,-32.50980246464618,-3.597382216597492,5.259438665551601,-0.10554491333203359,0.5895478138684451,0.0
50,2.9516474765774605,2.951662988353634,247.93838803250668,5.0399999999999805,26.179817199644738,14.310383448668963,162.83663714742153,0.8757304948323767,4.556867335065199,0.0,28.712182293031773,21.745882045677682,63.53963174076921,0.23294869874242882,-0.7431684659022748,0.0
51,2.951640855183599,2.951662988353634,247.93783183542232,5.0399999999999805,12.80380086981368,47.630100033583155,177.46556664661892,1.009843978237856,4.642257664067877,0.0,22.01596207073718,81.49323485295463,105.69045529822357,0.5045748846394534,-0.6061064636301857,0.0
52,2.946616413645613,2.951662988353634,247.5157787462315,5.0399999999999805,-24.80065058772684,-42.0027299419806,123.87534781408203,4.524263544849781,0.5822437821748085,0.0,-13.615139373639984,-28.051472802234628,9.294398903296528,-0.4783741270501278,0.2667738249153322,0.0
53,2.951583149392411,2.951662988353634,247.93298454896254,5.0399999999999805,-11.802556014457434,14.473858498287909,137.44228985162835,6.131900994365157,1.0176980988563455,0.0,-16.46289720035029,3.5538705524940335,25.68716339034454,-0.08514291550806588,0.5259955043583664,0.0
54,2.951510543129191,2.951662988353634,247.926885622852,5.0399999999999805,-34.16986280826601,10.066543347088766,133.90645943947132,0.5750074483844321,0.5110850511174148,0.0,-18.035352353326637,6.453035960371483,22.911833418926857,0.18880600099129072,0.024506797878220937,0.0
55,2.9516338232941033,2.951662988353634,247.9372411567047,5.0399999999999805,25.446404808141914,-27.045192303389644,145.34600332332732,5.484376774016656,5.134078122541833,0.0,12.600470774966121,-22.438944119016487,32.198276547322266,-0.2403006287514973,-0.3525021140579776,0.0
56,2.951576950749072,2.951662988353634,247.93246386292205,5.0399999999999805,-16.565344715377776,-10.535384724175815,136.69589200413336,5.602247552892587,0.1840124663845133,0.0,-9.104209730554341,-10.882261146576973,25.75413592390614,-0.32407186544001465,-0.09844289168239533,0.0
57,2.8450816056943538,2.951662988353634,238.98685487832572,5.0399999999999805,35.51981029163748,-60.57542468551001,109.23061654862333,4.54978306327137,5.426550412676999,0.0,16.062661472915867,-29.33557741378592,1.753101121604473,-0.1631817341384517,-0.12204720985185759,0.0
58,2.9516273961737918,2.951662988353634,247.93670127859852,5.0399999999999805,19.525429633829887,-5.724279618504231,148.74028241041066,5.722685666645372,5.300743358128356,0.0,10.28597092500347,-11.753765231803929,36.56347076873618,-0.295526920427889,0.02853849572528114,0.0
59,2.9516426623077265,2.951662988353634,247.93798363384903,5.0399999999999805,16.58539626523218,-18.573940296090495,140.77810004301364,0.051627335454000445,5.68849353808614,0.0,10.035859430902669,-7.757264588235754,28.08878704590062,0.0645997446741878,0.038654669704154154,0.0
60,2.9515733019014534,2.951662988353634,247.93215735972208,5.0399999999999805,-19.051856640942184,-33.31983097872349,136.95319616672134,4.8928196490814635,5.567935230209212,0.0,-6.570590749051098,-35.373129369842,23.67160665979147,-0.5307042540862871,-0.32598688603374787,0.0
61,2.8329869380699826,2.951662988353634,237.97090279787852,5.0399999999999805,-64.91733590135425,-31.415109324572065,106.29561270573356,4.291581093342739,2.315639406790524,0.0,-35.61134697596478,0.18994058095113325,3.0758101439970487,-0.4541747408634338,0.5960887339912723,0.0
62,2.949852662365827,2.951662988353634,238.938065651632,4.859999999999984,-45.99884925408959,88.63334382085279,300.0,1.9753273385879329,1.4056007492145497,0.0,-38.07315089413402,1171.0893784248842,3048.221967462615,0.46597939982154796,0.40468002510656786,0.0
63,2.951587682093355,2.951662988353634,247.93336529584184,5.0399999999999805,-17.099066647278555,18.906602335300263,135.9311781146752,0.46042002339772736,0.421664783014597,0.0,-10.311761351204646,10.45211618550148,24.830808807508323,-0.040904062152863636,0.06553099564047704,0.0
64,2.9516214076576155,2.951662988353634,247.93619824323972,5.0399999999999805,-11.960078365138584,11.611301709878408,162.75754685034022,1.339843856089593,0.5622385442954627,0.0,-11.22977574638989,5.142653483824744,68.96860187961806,0.4474501904516423,0.3432019448942027,0.0
65,2.951244919885243,2.951662988353634,247.9045732703604,5.0399999999999805,-26.08709573869662,-20.89621073864628,131.95704445789366,5.179968967848058,1.5894571694459172,0.0,-27.205276365911985,-9.869648218636964,15.942628720076879,-0.6470873644550406,0.655524831488645,0.0
66,2.9516054767081426,2.951662988353634,247.93486004348398,5.0399999999999805,-6.440326541311785,27.99213048725374,138.62535068672636,0.7084135884340146,0.6618745275478854,0.0,-10.403707339700114,14.040146763686012,25.267038466760386,-0.04641098795118684,0.17748733007616635,0.0
67,2.951591870926163,2.951662988353634,247.93371715779767,5.0399999999999805,20.029167403983156,-13.678743917122912,135.68113951331154,5.481343399719659,5.735235677152623,0.0,11.328222396168279,-10.969522169286975,24.994635523182605,-0.6063778183881829,-0.3614416146086795,0.0
68,2.9515712885296588,2.951662988353634,247.93198823649135,5.0399999999999805,-20.077418427345414,-9.79489635975749,136.1463800096059,5.606973654394341,0.8718781734844603,0.0,-15.9800020681263,-8.757803959277503,24.08712900989626,-0.30707371424623775,0.4278863775348145,0.0
69,2.95162967367861,2.951662988353634,247.93689258900324,5.0399999999999805,25.850366020345646,-20.32935537149269,158.3507294490507,5.809483429322121,4.849729450784796,0.0,15.633417280951694,-21.317002567143625,61.76063226050344,-0.3021400689287151,-0.3919883215654833,0.0
70,2.951625105049249,2.951662988353634,247.9365088241369,5.0399999999999805,12.758226790548756,19.98734952631903,147.11479854800348,1.00725476479104,6.060997421543991,0.0,7.5021495391284425,9.562075444307018,36.93213179229063,0.08543438567992713,-0.10930401229534636,0.0
71,2.9492130852634775,2.951662988353634,235.9370468210782,4.799999999999986,12.246547257207736,44.141983057405,300.0,1.578837829740606,6.2474522008709705,0.0,6.874707949751214,44.035676695445254,3271.978468833284,0.02419270302835433,0.3053991711724021,0.0
72,2.9515723466218438,2.951662988353634,247.9320771162349,5.0399999999999805,-13.475093302687881,19.27522662971012,136.0155580553681,0.19937440956235708,0.7087197487854766,0.0,-12.287823017483971,8.69323782847199,25.409191744451235,-0.026226257230941786,0.1744656252068254,0.0
73,2.9516158523809284,2.951662988353634,247.93573159999798,5.0399999999999805,-12.223671722360706,15.142786144904088,137.8586974842658,0.6045399145298527,1.1049115743909024,0.0,-17.87596541490924,7.9075430794556825,24.827637141960338,0.10685567179053497,0.48682004869393586,0.0
74,2.9516308205508404,2.951662988353634,247.93698892627057,5.0399999999999805,-1.0905526513251254,-17.24102669693224,136.84795629016472,5.960353582154834,0.26781893139493285,0.0,-3.20318499908219,-9.655656959397175,26.786747836108315,0.06755031049077012,0.07316813849605727,0.0
75,2.951041903340811,2.951662988353634,247.88751988062813,5.0399999999999805,-39.707240641631486,-19.621360983883214,127.92645871320532,0.10661594511649408,1.3970350410239032,0.0,-26.325258664186038,-7.876843130919364,16.055280160355377,0.12250697931751102,0.5734224993661583,0.0
76,2.951639289829471,2.951662988353634,247.93770034567558,5.0399999999999805,-23.66862760245088,14.481003727559957,143.5579547782491,0.9583126373779276,0.6919284903053917,0.0,-14.764343525221614,7.128948941766535,32.9986933208788,0.09034410507458727,0.31935638539337974,0.0
77,2.9514117643401727,2.951662988353634,247.9185882045745,5.0399999999999805,-35.269455772995855,6.617474731660042,132.0267593329454,0.6515385032925716,1.188330627062956,0.0,-24.60432642484944,2.9631857146093785,19.243975391768704,0.2698648202408518,0.23166184411157703,0.0
78,2.9492179924725983,2.951662988353634,235.93743939780788,4.799999999999986,150.0,150.0,300.0,0.603382796281708,4.1865329949062335,0.0,8507.078405658642,8572.808575436396,12571.337790164569,0.04752644106906867,-0.45267003388461935,0.0
79,2.924244915863116,2.951662988353634,245.63657293250174,5.0399999999999805,-14.815636424582202,-63.08178610541863,113.32631168694357,4.613588642478348,0.19796881465194893,0.0,-7.053346777157792,-30.23910970326463,5.63544084750365,-0.49597969881344883,-0.1440810474287839,0.0
80,2.9516071150014547,2.951662988353634,247.9349976601222,5.0399999999999805,28.537023003760588,-11.426669131891844,141.04772862765122,0.09004518334457501,6.150370015500455,0.0,11.38926761686432,-4.326839660836837,26.919437840488175,0.17951653786223312,0.1429503512293883,0.0
81,2.9515620869212835,2.951662988353634,247.93121530138782,5.0399999999999805,-26.914076645291996,7.230249096495542,135.03826196719498,0.5685721540971418,1.0955155598256612,0.0,-21.336893722808455,4.0782917858294025,22.161842316336827,0.21770748772348877,0.2494132452477279,0.0
82,2.9515643943889915,2.951662988353634,247.93140912867528,5.0399999999999805,-17.60056471062859,-11.052360046557876,136.2618862916315,5.6267574733725905,0.32838800128121015,0.0,-9.629082103784947,-9.373511444743993,25.899787137196224,-0.4096128834027488,0.027489577276116846,0.0
83,2.9515977816209706,2.951662988353634,247.93421365616152,5.0399999999999805,7.716101311532117,16.696484823346893,143.16004157140875,0.38122486764563135,5.592984243138542,0.0,5.437218067817353,9.86832731941631,31.255965856714894,0.14007738618549534,-0.0468917818848338,0.0
84,2.9516672122437417,2.9516672122437417,247.9400458284743,5.0399999999999805,-13.345914901074345,26.377006335540774,151.45130465899987,1.5408242461682748,0.838868945186765,0.0,-16.644957624682583,15.051722724196699,48.28424964846776,0.8403165089869867,0.4127063827198373,0.0
85,2.9516199136975976,2.9516672122437417,247.93607275059819,5.0399999999999805,11.156953595995994,13.156529882593539,142.31748820531186,0.7667083961492747,5.0359728176798555,0.0,13.18524527136205,11.27699243066099,35.26941383770543,0.49148634126313767,-0.8122293442862133,0.0
86,2.948282894758098,2.9516672122437417,247.65576315968025,5.0399999999999805,-1.7592195112186544,-55.04312515080317,122.15767436115489,4.690061310092201,5.948685408492981,0.0,1.0490029165796133,-30.51165089569873,10.903758184454245,-0.4982517495554575,-0.266878675514273,0.0
87,2.9516449303004073,2.9516672122437417,247.9381741452342,5.0399999999999805,34.13517487985709,13.334605953912542,143.8631507335748,0.626232048195746,5.52022337184596,0.0,14.885819882724324,7.322169145166453,27.863950753507357,0.0658588187016073,0.20448037538107525,0.0
88,2.9515988317441035,2.9516672122437417,247.93430186650468,5.0399999999999805,1.2537220715336417,-12.772041688426707,138.72201893597307,6.218568698105333,5.943516177005218,0.0,3.0649674155187987,-4.844058782386238,28.879277667622024,-0.13337513559896866,0.10672358239806198,0.0
89,2.9516455565289306,2.9516672122437417,247.93822674843017,5.0399999999999805,33.455610574558825,-1.0443350153458673,160.47405518635244,1.5090648070690635,4.893290356245171,0.0,26.617275773137788,-3.1940573056231227,62.99622650325361,1.0243884982447033,-0.36781961415480946,0.0
90,2.3810051391133737,2.9516672122437417,200.0044316855234,5.0399999999999805,29.78820797774338,-72.4473288065913,100.615840142673,3.8348633519929543,5.37002579564248,0.0,17.063283539943182,-32.77956206240559,-9.168070190359508,-0.5685604477356978,0.17424077189250922,0.0
91,2.951605821536403,2.9516672122437417,247.93488900905785,5.0399999999999805,-1.8114694414454764,7.545581811131028,139.6911164094735,5.6763142023324455,6.089670560292138,0.0,1.377822158693224,-6.5936133699094635,29.18321382635206,-0.19664162458133602,-0.1254020175661042,0.0
92,2.9515819686870093,2.9516672122437417,247.93288536970877,5.0399999999999805,11.46026315437492,-15.712778712984969,137.4622744808182,5.390399612326938,5.976557208335279,0.0,8.233424512937493,-14.571513551775356,24.69037328513599,-0.39372529015797286,0.018735712796226364,0.0
93,2.9514631007047893,2.9516672122437417,247.9229004592023,5.0399999999999805,-41.63630349511585,21.826949373198143,131.92717044154145,1.1137200744812086,1.1851851726231413,0.0,-25.44566997761558,7.631095106698425,20.54548154369129,0.43395934392807056,0.027693269531457097,0.0
