episode,score,best_score,total_reward,time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity
1,0.0,-inf,-56.92493335272187,1.560000000000001,0.7374428968884388,-0.664420466226663,0.0,1.8188658367333836,0.10101267159583927,0.0,-0.1273343920514217,0.3601569979155275,-13.437784894729353,8.143715018901883,-9.819705583737507,0.0
2,0.0,-inf,-56.978669351110426,1.560000000000001,0.6891175089031539,-0.7430032002257816,0.0,1.4986563949381502,0.3312398790493436,0.0,-0.32833657280369577,-0.07681781547059699,-13.380668487937669,8.664153855880345,-9.312205378341574,0.0
3,-2.182371647694939,-1.4999767755939037,-56.741662840068415,1.560000000000001,0.6857371976293464,-0.5659034290061906,0.0,0.38801152414095963,4.939583232118016,0.0,0.23263030836275295,-0.5562456817076674,-12.792174991028329,2.2251311673332483,-18.367712862462266,0.0
4,-2.02321214493289,0.16947368928731063,-44.510667188523584,1.3200000000000007,-2.2772178389136744,1.5782873053958129,0.0,4.739688921567032,0.9900655965436265,0.0,-2.5710804383601005,-0.4546677877493486,-17.442140708256243,25.189550012682556,-22.496298200468253,0.0
5,-1.8451930195212587,0.7188340968771856,-51.66540454659524,1.680000000000001,12.424174965591657,1.490182198656061,0.0,1.9238126102928295,3.573571203661418,0.0,24.71778047455898,-2.0723484031937187,-14.792142106315952,7.57380070683794,-5.662233646242515,0.0
6,2.9514171236410487,2.9514171236410487,247.9190383858481,5.0399999999999805,68.44135466597255,-12.27938338612501,143.61022183574292,5.450506528800435,4.722145239620037,0.0,29.173374097737558,-22.04098380196578,34.714472131100834,-0.2107929152275851,-0.14800205571592373,0.0
7,2.9515639810122885,2.9515639810122885,247.93137440503224,5.0399999999999805,10.44299558830845,-24.711364423588545,136.262191917812,5.362161847123241,5.649494339648385,0.0,8.049129330732962,-18.631125958744423,23.66061967475833,-0.42721155663706445,-0.19489115763155357,0.0
8,2.950639548673163,2.9515639810122885,247.8537220885457,5.0399999999999805,10.380919149294796,-52.110189637746686,125.09145179675873,5.065395459793109,5.494816998906284,0.0,6.389800571717926,-31.25018462132965,15.430265435115489,-0.07625018621713711,-0.11666101899459948,0.0
9,2.9514473772377703,2.9515639810122885,247.9215796879727,5.0399999999999805,-23.390455417830257,-25.46724801165172,132.0106239186271,5.630131104050122,0.7168999394640716,0.0,-16.598679149125317,-13.848564515876095,20.014632859481942,-0.1206885760121729,0.1345312111827023,0.0
10,2.9516028168198654,2.9516028168198654,247.9346366128687,5.0399999999999805,-4.196445844034094,13.008498798128183,144.27551077669088,0.9555115086237285,6.035668387719328,0.0,1.5870930335105031,9.156602670639927,35.429085792039146,0.25964074517464986,0.01466482100708565,0.0
11,2.951611736162419,2.951611736162419,247.93538583764317,5.0399999999999805,22.540504327255995,25.105386169608792,144.91494722370848,1.239342445602289,5.274022039666342,0.0,15.499257950504022,13.546605163522965,36.2179333533906,0.4482553084177909,-0.5812535632282088,0.0
12,2.9515613026000405,2.951611736162419,247.9311494184034,5.0399999999999805,-25.266327009721934,16.422800609697912,133.89280561165586,0.25110399778323256,0.6814723526688082,0.0,-16.492033327106984,6.765757263906213,23.074491574260833,0.07067420119363774,-0.22080011880585793,0.0
13,2.9516332432911203,2.9516332432911203,247.9371924364541,5.0399999999999805,8.82443667556091,19.095147928494125,237.18033046109417,1.449151750487001,0.4767495551659504,0.0,-3.2134810560700044,-32.094878597405575,424.51892699816415,0.18267913553414475,0.3936009783751965,0.0
14,2.951247978027632,2.9516332432911203,247.9048301543211,5.0399999999999805,6.148334425054523,-36.02030103103796,130.77507140923694,4.742794914975912,0.1576207892492114,0.0,0.36552844576669546,-27.261044522105216,16.30434498376396,-0.6992622584617867,0.14226288035469387,0.0
15,2.9516251109847667,2.9516332432911203,247.9365093227204,5.0399999999999805,-2.286956793257646,46.07097561476185,191.58034720757684,1.7293463654995183,5.9048817401767195,0.0,6.024411639578276,42.14695847475453,165.07989393444103,0.4291463404607411,-0.17470201288007542,0.0
16,2.951272241661595,2.9516332432911203,247.906868299574,5.0399999999999805,-58.67988571586294,5.312711371315692,126.64862858889116,1.0206606333124117,0.9628812996357725,0.0,-28.09852768385001,1.6095535985507987,19.252290378784792,0.32299655046718967,0.024870678702689383,0.0
17,2.9516578866739347,2.9516578866739347,247.93926248061052,5.0399999999999805,28.417244037199808,-18.506911782309523,144.4730576682726,0.5942961788051031,5.5453761861906905,0.0,17.749896168565858,-10.405443012715793,33.81462135216659,0.08578546537121703,0.056843528037176606,0.0
18,2.9509219814562884,2.9516578866739347,247.87744644232822,5.0399999999999805,-29.749425383949806,-36.782449488866604,126.57263774267135,5.257485775309181,0.8579091529827458,0.0,-17.50849088491819,-19.039014738449964,15.960811866598542,-0.19181941802205302,0.3018724587869128,0.0
19,2.95151918054402,2.9516578866739347,247.92761116569767,5.0399999999999805,-24.33882931333351,-14.251706667924243,134.44445988690842,5.535968729680668,0.8147422594590354,0.0,-17.311078256035668,-11.711390559333493,21.540543281909,-0.24891913243605032,0.19259323123709657,0.0
20,2.8210819955652315,2.9516578866739347,236.97088762747944,5.0399999999999805,-18.70352000590522,-77.43549828718182,109.46822367159488,4.442835360114614,5.452376301818509,0.0,-12.583800956241303,-53.77433416533258,-0.871037817273175,-0.343031545980606,-0.4308173206577697,0.0
21,2.9515922839679507,2.9516578866739347,247.93375185330785,5.0399999999999805,24.0540695464292,18.42184383759049,136.4138125322809,0.5848118753689624,5.584974798673148,0.0,13.441675949525857,8.313292247372905,25.26759127849678,0.502521751237374,-0.1149150957608077,0.0
22,2.951623726915626,2.9516578866739347,247.9363930609126,5.0399999999999805,17.1321071983309,-8.751146619119288,160.47551971675475,0.17515996521372745,4.693139123186636,0.0,20.467765196085253,0.22223095503321555,71.12725864936468,0.2526772209578464,-0.6213622124564656,0.0
