episode,score,best_score,total_reward,time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity
1,0.0,-inf,-47.43158686108325,1.2000000000000006,5.324938126676292,2.139759483638698,0.0,4.697246299120106,0.6401553088365066,0.0,7.206004761030779,0.27863386426906284,-19.96294617647514,-21.940020267649306,-11.773493248571777,0.0
2,0.0,-inf,-47.61342010500222,1.2000000000000006,5.346638134543355,1.9588306059053968,0.0,4.748001569982431,0.6421073028966493,0.0,7.252997455443615,-0.16281463418217215,-19.95004076602869,-21.675259108183063,-11.760240923351667,0.0
3,0.0,-inf,-47.610367783471496,1.2000000000000006,5.192413950736937,1.9462309489842868,0.0,4.764498871273291,0.5547735644956528,0.0,6.883939785974135,-0.16243629228493256,-19.84862494134325,-21.68174803718976,-11.734564182922185,0.0
4,-2.4366917995604984,-1.0881865847371528,-51.17052779077047,1.2600000000000007,-1.1009853034614685,1.377622285930058,0.0,4.368896822603983,3.50853837724323,0.0,0.783630315835872,-1.1459663515465077,-13.823944783973833,-15.83913158371777,-19.341159689566776,0.0
5,-1.0774444345058138,0.4643716101045442,-48.48499955276162,2.700000000000002,-9.021766317277365,16.314439055082815,0.0,5.870075960953152,3.292443851555161,0.0,2.194399053059784,10.410761361225282,-13.788883616665595,-1.6649234710486283,-27.951493830589836,0.0
6,-2.2744061667161097,0.4643716101045442,-47.7625295010383,1.2600000000000007,-5.006763993352318,0.2519958083939331,0.0,4.366998351409203,5.576389419033827,0.0,-5.916874155106035,-0.15351031585537173,-15.272937763958822,-13.693100054749431,-8.423072026093209,0.0
7,-2.2683210597301153,0.4643716101045442,-56.70802649325288,1.5000000000000009,-4.795637281676843,3.2476660656984313,0.0,0.8970040382970055,0.44919549533473013,0.0,-5.436636379102393,3.3893200985587044,-14.534146125524126,-26.08710084744744,-10.857977079936473,0.0
8,-1.832402771474591,0.7093826723382047,-54.97208314423773,1.8000000000000012,19.93833186369942,6.152050423030046,0.0,1.23704559973193,4.0598969901027395,0.0,27.015071924177068,3.6153536011978513,-13.849713831974665,-28.846704165851076,-1.4493000905250812,0.0
9,-1.8353761064949008,0.7387082727198547,-53.22590708835212,1.740000000000001,2.0262872637027582,6.723667186640115,0.0,3.023729986220042,6.081284461187913,0.0,4.344449785958231,3.1018299203518414,-13.950578397986261,-28.824043422776576,-0.20771635089094043,0.0
10,-1.8431130633701733,0.7387082727198547,-53.45027883773503,1.740000000000001,2.717453966762599,6.718348021461596,0.0,3.0145009005242205,5.924108729151316,0.0,6.151216036789856,3.090457622022878,-13.818791381179164,-28.82839611202514,-0.6005825886089778,0.0
11,-1.8294356876394742,0.7387082727198547,-53.05363494154475,1.740000000000001,1.2854597960603025,6.780864965812145,0.0,3.0046397964442804,2.5142758600086843,0.0,0.7125248962480522,4.453143495246607,-13.081678551150171,-28.82293619986993,-7.814746827536245,0.0
