episode,score,best_score,total_reward,time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity
1,0.0,-inf,-60.445930055264235,1.560000000000001,4.030589699797012,5.0877769493275355,0.0,2.841282488724687,0.15178838351920643,0.0,0.9352875319511339,3.9964352204166214,-13.817231198041856,-2.9894071902429684,-18.128696741052902,0.0
2,0.0,-inf,-60.275706584149376,1.560000000000001,4.016826932468124,5.214817988926521,0.0,2.7907592264132557,0.14209154214264252,0.0,0.9390745560944358,4.123694426222725,-13.763473195422469,-2.8502682139381283,-18.159728662863614,0.0
3,-2.3070718246204844,-1.8288375077822339,-57.67679561551211,1.5000000000000009,3.826788894605842,4.429477370905486,0.0,5.671366430525644,3.9418114898559296,0.0,3.903684599635121,4.188939834174539,-14.68415133894201,19.207502535936012,-25.052219950443376,0.0
4,-2.2470561232235298,-0.01444747395396143,-44.941122464470595,1.2000000000000006,2.9734467399787743,2.0304456162728615,0.0,2.6119115189782285,0.8026037789205773,0.0,2.3517446976163763,1.8630609726566787,-19.090082832869008,25.131902403009615,-28.226467773627522,0.0
5,-2.4110246062241463,0.018829132442034074,-50.63151673070707,1.2600000000000007,1.509444553621578,-4.722850479111564,0.0,3.056047355127186,6.236849134653246,0.0,0.18669359394024182,-8.255325197366364,-16.686449991651905,9.907040068580281,-15.101308395413103,0.0
6,2.9513718765059203,2.9513718765059203,247.91523762649732,5.0399999999999805,15.869734993633315,-31.756842421707294,132.14515955292148,3.0837561007037966,0.3860864874924266,0.0,0.8584292762532503,-23.57822044644805,21.03685596987911,5.1210641623024875,0.36686372840216724,0.0
7,2.9312611659274665,2.9513718765059203,175.875669955648,3.6000000000000028,3.615226235496424,150.0,158.67552052877917,3.911931969499829,0.19482459677486652,0.0,38.533813393784015,197.8001430317525,121.91370636368819,-27.982089891313272,0.03571999914162956,0.0
8,-1.81822236540386,2.9513718765059203,-52.72844859671194,1.740000000000001,0.9599151388528623,6.841547055395555,0.0,4.36614183247973,6.19361787915911,0.0,1.884099860089222,3.959611536672833,-15.899229520035766,-18.643016855128245,-0.10776245976169725,0.0
9,-1.8555370722787765,2.9513718765059203,-55.6661121683633,1.8000000000000012,0.5391250066489285,6.9182230275985255,0.0,1.5197809866677492,6.221179364647366,0.0,1.262120903624264,3.9690439459146685,-15.698468579517884,-27.600865868689418,-0.019415610811493487,0.0
10,-1.3655663676122458,2.9513718765059203,-58.71935380732657,2.580000000000002,26.55367571166772,-0.5470922329716882,0.0,2.964942106012492,4.717109770081985,0.0,21.195482433019258,0.09783994590496067,-12.966003606797692,-3.108669971877706,-0.6820943809333311,0.0
11,-1.8338599937542304,2.9513718765059203,-55.01579981262691,1.8000000000000012,3.119690817889073,6.9895196816763745,0.0,6.144012418479937,5.909701968705889,0.0,6.638041764174556,3.630489968141084,-11.832511674429373,-19.890999295198284,-0.3442744162851997,0.0
12,-1.7915381506782135,2.9513718765059203,-53.746144520346405,1.8000000000000012,0.19698090666956872,6.823218591630994,0.0,1.2701518304137984,6.220716474162611,0.0,0.7617854795092242,4.213238860632723,-15.365763822860167,-28.156898936228092,-0.13146505740185396,0.0
13,-1.8236236199594618,2.9513718765059203,-54.70870859878385,1.8000000000000012,-1.039160968684481,6.911175714510766,0.0,1.930616675763865,0.08558932144637943,0.0,-1.8013397385020409,3.60861590275462,-15.560058781166624,-26.336561919457726,0.14628941688998118,0.0
14,-1.8607617113370796,2.9513718765059203,-55.822851340112386,1.8000000000000012,0.046866323420670264,6.922027740112903,0.0,1.3273817572078555,6.230646210729148,0.0,0.429750493610231,4.196800180068809,-15.693956922041195,-28.24046973648483,-0.11787398817525788,0.0
15,-1.7117985912171794,2.9513718765059203,-54.77755491894974,1.9200000000000013,-4.014846403324602,7.495307533758164,0.0,4.318775787412218,0.32241871277522627,0.0,-8.08285276848028,3.9083812494925936,-13.248866249288229,-27.52727618657074,0.1970932743180052,0.0
16,-1.852627652681769,2.9513718765059203,-55.578829580453075,1.8000000000000012,-2.7760134142049258,6.47938820113901,0.0,5.922911690613928,0.2085185452889471,0.0,-4.8827540906210745,1.5225173525686095,-10.87273703745796,-10.178276913451292,0.14774928596482895,0.0
17,-1.8534193378375707,2.9513718765059203,-57.45599947296469,1.8600000000000012,-2.2305632986858037,8.826865146221124,0.0,0.43415559930898606,0.23288409988223524,0.0,-4.507705636541226,11.174498485130744,-10.159926950711714,-7.386677706008021,0.10568519622305143,0.0
18,-1.7928849510912361,2.9513718765059203,-51.99366358164585,1.740000000000001,-0.6757177539727455,5.771639049497518,0.0,3.3057175879190392,6.194347185030283,0.0,-0.4318583947283669,-0.12736390569394734,-19.31325790519044,-7.423118596719304,-0.2862200542477218,0.0
19,-1.2557901540718426,2.9513718765059203,-41.44107508437081,1.9800000000000013,-1.6479379351362486,-13.232750860787235,0.0,5.916171788823153,3.192277463344908,0.0,-1.4230617256679339,-8.8592484693573,-15.550871342853299,-2.13217255079217,-28.828457416442753,0.0
20,-2.1703582952286107,2.9513718765059203,-56.429315675943876,1.560000000000001,-2.038445294842219,-3.857298401293932e-08,0.0,2.2449497024901177e-05,1.9272194990477285,0.0,-1.2155667975945958,-2.3764497659765483e-06,-14.536021317177847,7.589309389384698e-05,-28.826415723682377,0.0
21,-2.1763533108812187,2.9513718765059203,-56.58518608291169,1.560000000000001,-2.04782975582559,-2.8414958648830464e-07,0.0,1.674435963661125e-05,1.9520677707000207,0.0,-1.2183205272126645,-1.8376192687659325e-06,-14.568159644959849,4.6672329918807764e-05,-28.828964816298026,0.0
22,-2.1649225608257705,2.9513718765059203,-56.28798658147003,1.560000000000001,-2.021165680586186,-6.329444439468633e-07,0.0,4.3139352079890614e-05,1.904076937269517,0.0,-1.2074053063693653,-5.049946973178686e-06,-14.5095395754409,5.3964418521710934e-05,-28.830894102338398,0.0
23,-2.167847019143444,2.9513718765059203,-56.364022497729536,1.560000000000001,-2.0376172557290317,3.542220207301424e-08,0.0,6.283144203604767,1.90466161233444,0.0,-1.2187226829164886,3.4834412151424613e-06,-14.524825841414277,-6.49588893764851e-05,-28.81593519261274,0.0
24,-2.1685980125550124,2.9513718765059203,-56.38354832643032,1.560000000000001,-2.020839823530103,6.463533052388758e-08,0.0,1.6503076372131886e-05,1.917379570682181,0.0,-1.2058278953011983,-1.2194557159934031e-06,-14.529377243236288,2.806195997654768e-05,-28.83060681296058,0.0
25,-2.16697365492473,2.9513718765059203,-56.341315028042985,1.560000000000001,-2.0194923460444305,1.7927804028093442e-07,0.0,6.283167839326351,1.9159878752908774,0.0,-1.2046682197957261,1.8207040380662221e-06,-14.51755400897813,-3.442405313864846e-05,-28.840518180641553,0.0
26,-2.164797280228457,2.9513718765059203,-56.28472928593988,1.560000000000001,-2.6162941736942438,1.9231938113834475e-08,0.0,6.283169026581373,3.595764123371506,0.0,-1.7353531952815575,3.7002416925501063e-05,-16.16908688830824,3.194209520040748e-05,-9.89211899701794,0.0
27,-2.128041679663789,2.9513718765059203,-51.07300031193093,1.4400000000000008,-1.7705655300500236,1.6378133648045204e-05,0.0,6.283172370319072,1.183641622302587,0.0,-5.377370684227276,6.739210054626461e-05,-19.0779094998419,7.206814624558549e-06,-6.735849796721064,0.0
28,-2.090622625812578,2.9513718765059203,-54.35618827112703,1.560000000000001,-0.31542633722579183,-6.583213608498534e-06,0.0,1.9230527819935617e-05,1.8403355751526966,0.0,3.0876945342597395,-6.700426699992592e-05,-17.7994879942987,-1.9944169153330514e-05,-9.491883653004658,0.0
29,-2.1935368158846575,2.9513718765059203,-59.225494028885755,1.620000000000001,-1.3525879041060147,-9.225513938031829e-06,0.0,6.283167012728127,4.044654294278303,0.0,3.824832535502864,-1.984198563368382e-05,-11.393867249094408,-3.748159756552435e-05,-5.7523077244985155,0.0
30,-2.1414169386179367,2.9513718765059203,-55.676840404066354,1.560000000000001,-2.7975941920479745,-1.7973786664886423e-06,0.0,6.283144554738275,6.194576139229373,0.0,-2.0586251701452376,1.1335704831777577e-06,-14.081609561522038,-2.683792905331503e-05,28.306242175292088,0.0
31,-2.1639978922908156,2.9513718765059203,-56.263945199561206,1.560000000000001,-1.9743898273375127,-2.4122639701749323e-06,0.0,6.283179373814793,0.016456327554054795,0.0,0.0010767198295668287,-2.040334216521241e-05,-10.590758985301356,-4.236412694789091e-06,-10.837234372387105,0.0
32,-2.167712035607231,2.9513718765059203,-56.360512925788,1.560000000000001,-2.062720105717266,-1.8253796155525806e-06,0.0,6.283014617849727,4.085157064573917,0.0,-0.9358800786700094,-5.7874283130602136e-05,-13.53170205584524,-0.0006008018386938882,14.337586632276652,0.0
33,-2.169761499130733,2.9513718765059203,-56.413798977399054,1.560000000000001,-2.140388695927832,1.624517034047784e-06,0.0,6.2829786312084845,1.825304058544864,0.0,-1.8710211091075586,2.4552857508594227e-06,-14.473095638138288,-0.0011264339373077612,19.444992134308066,0.0
34,-2.183605661062549,2.9513718765059203,-54.590141526563734,1.5000000000000009,-0.5563713961181603,5.907890121957682e-06,0.0,6.2831710078379235,1.213057030917117,0.0,-1.017561405142517,1.6580261784783223e-05,-15.838067404467713,-1.3913326269861657e-05,11.976839144392953,0.0
